,סמל ועדה,מצביעים,פסולים,מחוז,אזור טבעי,מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2018,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה,מרחב משטרה,אשכול רשויות מקומיות,label
0,18,595,6,6,623.0,0.0,0.0,3.0,7307.0,0.0,0.0,1949.0,460,0.0,2040057100.0,0.0,15003711.0,0.0,False
679,18,542,9,6,623.0,0.0,0.0,3.0,7307.0,0.0,0.0,1949.0,460,0.0,2040057100.0,0.0,15003711.0,0.0,False
1,2,2718,36,1,111.0,99.0,444.0,2.0,7543.0,79.0,7446.0,1949.0,280,0.0,2105263481.0,598.0,10002475.0,0.0,True
337,2,2459,53,1,111.0,99.0,444.0,2.0,7543.0,79.0,7446.0,1949.0,280,0.0,2105263481.0,598.0,10002475.0,0.0,True
2,6,6090,53,2,245.0,99.0,0.0,2.0,13915.0,11.0,13887.0,1949.0,270,0.0,2160776284.0,19.0,10004315.0,0.0,True
338,6,5667,50,2,245.0,99.0,0.0,2.0,13915.0,11.0,13887.0,1949.0,270,0.0,2160776284.0,19.0,10004315.0,0.0,True
3,18,41,1,6,623.0,0.0,0.0,3.0,7307.0,0.0,0.0,1949.0,460,0.0,1850057900.0,0.0,10001937.0,0.0,False
671,18,47,1,6,623.0,0.0,0.0,3.0,7307.0,0.0,0.0,1949.0,460,0.0,1850057900.0,0.0,10001937.0,0.0,False
4,18,1336,8,6,623.0,0.0,0.0,3.0,7307.0,0.0,0.0,1949.0,460,0.0,1970056000.0,0.0,15003711.0,0.0,False
680,18,1222,13,6,623.0,0.0,0.0,3.0,7307.0,0.0,0.0,1949.0,460,0.0,1970056000.0,0.0,15003711.0,0.0,False
5,18,334,3,6,623.0,68.0,0.0,2.0,1815.0,0.0,1815.0,1949.0,450,0.0,1963656105.0,410.0,15003711.0,610.0,False
915,18,291,2,6,623.0,68.0,0.0,2.0,1815.0,0.0,1815.0,1949.0,450,0.0,1963656105.0,410.0,15003711.0,610.0,False
6,18,1524,21,6,623.0,0.0,0.0,3.0,7307.0,0.0,0.0,1949.0,460,0.0,2050057200.0,0.0,10001937.0,0.0,False
678,18,1471,24,6,623.0,0.0,0.0,3.0,7307.0,0.0,0.0,1949.0,460,0.0,2050057200.0,0.0,10001937.0,0.0,False
7,18,2171,5,6,623.0,0.0,0.0,3.0,7307.0,0.0,0.0,1949.0,460,0.0,1920056600.0,0.0,15003711.0,0.0,False
673,18,1924,16,6,623.0,0.0,0.0,3.0,7307.0,0.0,0.0,1949.0,460,0.0,1920056600.0,0.0,15003711.0,0.0,False
8,18,576,2,6,623.0,68.0,0.0,2.0,1822.0,0.0,1821.0,1949.0,450,0.0,1933456589.0,340.0,15003711.0,610.0,False
938,18,626,5,6,623.0,68.0,0.0,2.0,1822.0,0.0,1821.0,1949.0,450,0.0,1933456589.0,340.0,15003711.0,610.0,False
9,8,1161,10,3,311.0,12.0,222.0,2.0,2773.0,2.0,2771.0,1949.0,290,0.0,2108874076.0,19.0,10004207.0,0.0,False
459,8,909,10,3,311.0,12.0,222.0,2.0,2773.0,2.0,2771.0,1949.0,290,0.0,2108874076.0,19.0,10004207.0,0.0,False
10,6,233,0,2,241.0,56.0,0.0,1.0,470.0,450.0,0.0,1987.0,370,10.0,2331474908.0,308.0,10004513.0,210.0,False
871,6,233,0,2,241.0,56.0,0.0,1.0,470.0,450.0,0.0,1987.0,370,10.0,2331474908.0,308.0,10004513.0,210.0,False
11,9,413,0,3,324.0,45.0,0.0,1.0,815.0,799.0,0.0,1949.0,310,9.0,1996171533.0,30.0,10004333.0,0.0,False
478,9,399,0,3,324.0,45.0,0.0,1.0,815.0,799.0,0.0,1949.0,310,9.0,1996171533.0,30.0,10004333.0,0.0,False
12,3,246,0,2,212.0,2.0,0.0,1.0,477.0,476.0,0.0,1960.0,310,1.0,2444177707.0,668.0,10004528.0,211.0,False
742,3,234,0,2,212.0,2.0,0.0,1.0,477.0,476.0,0.0,1960.0,310,1.0,2444177707.0,668.0,10004528.0,211.0,False
13,17,488,4,6,611.0,33.0,143.0,1.0,820.0,813.0,0.0,1950.0,310,1.0,1757362428.0,55.0,10001821.0,420.0,False
607,17,489,1,6,611.0,33.0,143.0,1.0,820.0,813.0,0.0,1950.0,310,1.0,1757362428.0,55.0,10001821.0,420.0,False
14,10,734,1,4,411.0,16.0,141.0,1.0,1410.0,1375.0,0.0,1932.0,310,1.0,1880869527.0,20.0,10002089.0,0.0,False
108,10,733,1,4,411.0,16.0,141.0,1.0,1410.0,1375.0,0.0,1932.0,310,1.0,1880869527.0,20.0,10002089.0,0.0,False
15,5,330,0,2,234.0,8.0,0.0,1.0,502.0,501.0,1.0,1953.0,310,1.0,2291271816.0,68.0,10004394.0,213.0,False
980,5,308,2,2,234.0,8.0,0.0,1.0,502.0,501.0,1.0,1953.0,310,1.0,2291271816.0,68.0,10004394.0,213.0,False
16,2,445,0,1,112.0,26.0,444.0,1.0,865.0,857.0,0.0,1958.0,310,2.0,2016662104.0,329.0,15000597.0,0.0,False
719,2,441,0,1,112.0,26.0,444.0,1.0,865.0,857.0,0.0,1958.0,310,2.0,2016662104.0,329.0,15000597.0,0.0,False
17,6,160,1,2,244.0,52.0,0.0,1.0,227.0,211.0,0.0,1980.0,370,19.0,2271577149.0,541.0,10004484.0,212.0,False
822,6,135,0,2,244.0,52.0,0.0,1.0,227.0,211.0,0.0,1980.0,370,19.0,2271577149.0,541.0,10004484.0,212.0,False
18,10,7569,27,4,411.0,99.0,141.0,1.0,13700.0,13495.0,2.0,1932.0,170,0.0,1894468643.0,10.0,15000060.0,0.0,False
112,10,7512,12,4,411.0,99.0,141.0,1.0,13700.0,13495.0,2.0,1932.0,170,0.0,1894468643.0,10.0,15000060.0,0.0,False
19,6,193,0,2,244.0,52.0,0.0,1.0,297.0,293.0,0.0,1960.0,310,1.0,2278277545.0,550.0,10004302.0,212.0,False
725,6,200,5,2,244.0,52.0,0.0,1.0,297.0,293.0,0.0,1960.0,310,1.0,2278277545.0,550.0,10004302.0,212.0,False
20,2,351,2,1,111.0,26.0,444.0,1.0,724.0,704.0,2.0,1950.0,310,1.0,2128463002.0,571.0,10002521.0,0.0,False
572,2,363,2,1,111.0,26.0,444.0,1.0,724.0,704.0,2.0,1950.0,310,1.0,2128463002.0,571.0,10002521.0,0.0,False
21,17,787,2,6,612.0,34.0,0.0,1.0,1675.0,1673.0,0.0,1956.0,350,0.0,1775460940.0,150.0,10001813.0,0.0,False
282,17,777,4,6,612.0,34.0,0.0,1.0,1675.0,1673.0,0.0,1956.0,350,0.0,1775460940.0,150.0,10001813.0,0.0,False
22,4,311,0,2,294.0,71.0,0.0,1.0,714.0,714.0,0.0,1978.0,310,2.0,2719674774.0,346.0,10004579.0,211.0,False
1147,4,306,0,2,294.0,71.0,0.0,1.0,714.0,714.0,0.0,1978.0,310,2.0,2719674774.0,346.0,10004579.0,211.0,False
23,10,882,1,7,0.0,72.0,0.0,1.0,1895.0,1883.0,0.0,1990.0,370,11.0,2070868793.0,143.0,10003262.0,0.0,False
1128,10,865,2,7,0.0,72.0,0.0,1.0,1895.0,1883.0,0.0,1990.0,370,11.0,2070868793.0,143.0,10003262.0,0.0,False
24,18,158,1,6,622.0,38.0,0.0,1.0,274.0,196.0,0.0,1990.0,370,10.0,1361956745.0,89.0,10001893.0,620.0,False
892,18,157,2,6,622.0,38.0,0.0,1.0,274.0,196.0,0.0,1990.0,370,10.0,1361956745.0,89.0,10001893.0,620.0,False
25,2,191,0,7,0.0,78.0,0.0,1.0,440.0,434.0,0.0,1984.0,370,9.0,2016960665.0,552.0,15003512.0,0.0,False
1106,2,190,0,7,0.0,78.0,0.0,1.0,440.0,434.0,0.0,1984.0,370,9.0,2016960665.0,552.0,15003512.0,0.0,False
26,5,183,0,2,234.0,8.0,0.0,1.0,279.0,278.0,0.0,1956.0,310,1.0,2257971719.0,69.0,10004394.0,213.0,False
70,5,191,0,2,234.0,8.0,0.0,1.0,279.0,278.0,0.0,1956.0,310,1.0,2257971719.0,69.0,10004394.0,213.0,False
27,6,195,0,2,244.0,4.0,0.0,1.0,209.0,183.0,0.0,1958.0,330,15.0,2199777600.0,409.0,10004302.0,212.0,False
717,6,198,0,2,244.0,4.0,0.0,1.0,209.0,183.0,0.0,1958.0,330,15.0,2199777600.0,409.0,10004302.0,212.0,False
28,2,409,1,1,112.0,26.0,444.0,1.0,848.0,848.0,0.0,1961.0,310,1.0,1995861869.0,396.0,15000597.0,0.0,False
743,2,396,0,1,112.0,26.0,444.0,1.0,848.0,848.0,0.0,1961.0,310,1.0,1995861869.0,396.0,15000597.0,0.0,False
29,10,615,1,4,411.0,19.0,141.0,1.0,1375.0,1338.0,0.0,1948.0,310,10.0,1858268581.0,10.0,15000060.0,0.0,False
320,10,617,0,4,411.0,19.0,141.0,1.0,1375.0,1338.0,0.0,1948.0,310,10.0,1858268581.0,10.0,15000060.0,0.0,False
30,3,89,0,2,292.0,71.0,0.0,1.0,139.0,136.0,0.0,1976.0,320,6.0,2702878880.0,1019.0,10004579.0,211.0,False
