,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
0,23,2,13769,15,10,2,6,0,0,1,0,0,30,38
1,46,1,14878,14,15,2,9,0,1,1,0,0,40,29
2,26,2,18827,15,10,4,13,1,4,1,0,0,40,38
3,25,2,19214,11,9,4,5,1,4,1,0,0,40,38
4,31,2,19302,7,12,4,0,1,4,1,2202,0,38,38
5,30,2,19302,15,10,4,0,1,4,1,0,0,48,38
6,31,2,19302,9,13,2,9,0,4,1,0,0,40,38
7,30,2,19302,15,10,2,9,0,4,1,7688,0,40,38
8,32,1,19302,7,12,2,10,0,4,1,0,0,56,8
9,27,2,19395,15,10,2,5,5,4,0,0,0,35,38
10,28,5,19395,15,10,4,0,1,4,0,0,0,38,38
11,24,2,19410,11,9,0,11,4,0,0,0,0,48,38
12,31,2,19491,15,10,4,2,1,4,1,0,0,40,38
13,57,5,19520,10,16,0,9,4,4,0,0,0,50,38
14,42,1,19700,9,13,2,9,5,4,0,0,0,50,38
15,17,2,19752,1,7,4,7,3,2,0,0,0,25,38
16,34,2,19847,11,9,0,0,4,4,0,0,0,40,38
17,30,2,19847,15,10,0,12,3,4,0,0,0,40,38
18,37,2,19899,11,9,2,2,0,4,1,15024,0,45,38
19,39,2,19914,15,10,0,0,4,0,0,0,0,40,38
20,43,0,19914,15,10,6,3,4,0,0,0,0,15,38
21,41,0,19914,9,13,2,0,5,1,0,0,0,40,29
22,44,2,19914,11,9,2,7,5,1,0,0,0,50,29
23,34,5,20057,15,10,3,0,4,1,0,0,0,38,29
24,18,2,20057,5,4,4,7,2,1,0,0,0,40,29
25,30,4,20098,8,11,0,6,1,4,0,0,0,40,38
26,80,1,20101,11,9,6,7,4,0,0,0,0,32,38
27,40,2,20109,15,10,0,5,1,0,0,0,0,84,38
28,50,0,20179,12,14,2,12,0,4,1,0,0,40,38
29,48,2,20296,11,9,0,0,1,4,0,0,0,37,38
30,38,2,20308,11,9,4,7,3,4,1,0,0,40,38
31,63,2,20323,15,10,0,7,1,4,0,0,0,40,38
32,36,4,20333,11,9,2,11,5,4,0,7688,0,40,38
33,53,2,20438,15,10,5,3,4,0,0,0,0,15,38
34,35,0,20469,15,10,0,3,4,1,0,0,0,40,29
35,36,2,20507,11,9,2,2,0,4,1,7688,0,50,38
36,31,2,20511,9,13,4,7,1,4,0,0,0,25,38
37,46,5,20534,9,13,4,3,1,4,1,0,0,45,38
38,45,2,20534,15,10,5,2,1,4,1,0,0,41,38
39,45,2,20534,15,10,2,6,0,4,1,0,0,84,38
40,53,1,20676,11,9,2,3,0,0,1,0,0,48,38
41,21,2,20728,11,9,4,11,3,4,0,4101,0,40,38
42,50,1,20795,15,10,2,10,0,4,1,0,0,40,38
43,51,0,20795,11,9,2,13,0,4,1,7688,0,40,38
44,50,2,20795,11,9,2,4,0,4,1,0,0,60,38
45,51,4,20795,15,10,2,2,0,4,1,0,0,40,38
46,42,2,20809,11,9,0,2,1,4,1,0,0,75,38
47,57,2,20953,15,10,2,11,0,4,1,0,1902,40,38
48,47,0,20956,9,13,2,2,0,4,1,0,1740,40,38
49,46,0,20956,9,13,2,3,0,4,1,15024,0,40,38
50,50,2,21095,15,10,0,7,4,1,1,0,0,40,29
51,60,4,21101,11,9,2,4,0,0,1,0,0,50,38
52,24,2,21154,15,10,4,0,3,4,0,0,0,30,38
53,64,2,21174,11,9,2,3,0,4,1,0,0,40,38
54,27,5,21306,7,12,4,0,1,4,0,0,0,40,10
55,25,4,21472,15,10,4,7,1,4,0,0,0,22,38
56,58,3,21626,8,11,0,11,1,4,1,2202,0,56,38
57,57,0,21626,15,10,0,7,1,4,1,0,0,40,38
58,54,0,21698,9,13,0,3,4,4,0,0,0,40,38
59,54,2,21698,0,6,0,7,4,4,0,0,0,40,38
60,51,2,21698,11,9,4,0,1,4,0,0,0,40,38
61,59,2,21792,11,9,6,7,1,4,0,0,0,10,38
62,27,2,21856,15,10,4,2,1,2,1,0,0,40,38
63,60,0,21876,15,10,0,9,1,0,0,0,0,40,38
